Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as,Location
Asara B'Tevet,6/1/2039,,,,TRUE,Fast commemorating the siege of Jerusalem,3,Jewish Holidays
Rosh Chodesh Sh'vat,26/1/2039,,,,TRUE,Beginning of new Hebrew month of Sh'vat,3,Jewish Holidays
Tu BiShvat,9/2/2039,,,,TRUE,New Year for Trees,3,Jewish Holidays
Shabbat Shekalim,19/2/2039,,,,TRUE,Shabbat before Rosh Chodesh Adar,3,Jewish Holidays
Rosh Chodesh Adar,24/2/2039,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Rosh Chodesh Adar,25/2/2039,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Shabbat Zachor,5/3/2039,,,,TRUE,Shabbat before Purim,3,Jewish Holidays
Ta'anit Esther,9/3/2039,,,,TRUE,Fast of Esther,3,Jewish Holidays
Erev Purim,9/3/2039,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Purim,10/3/2039,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Shushan Purim,11/3/2039,,,,TRUE,Purim celebrated in Jerusalem and walled cities,3,Jewish Holidays
Shabbat Parah,19/3/2039,,,,TRUE,Shabbat of the Red Heifer,3,Jewish Holidays
Rosh Chodesh Nisan,26/3/2039,,,,TRUE,Beginning of new Hebrew month of Nisan,3,Jewish Holidays
Shabbat HaChodesh,26/3/2039,,,,TRUE,Shabbat before Rosh Chodesh Nissan,3,Jewish Holidays
Shabbat HaGadol,2/4/2039,,,,TRUE,Shabbat before Pesach,3,Jewish Holidays
Ta'anit Bechorot,8/4/2039,,,,TRUE,Fast of the First Born,3,Jewish Holidays
Erev Pesach,8/4/2039,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach I,9/4/2039,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach II,10/4/2039,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach III (CH''M),11/4/2039,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
